payee_first_name,payee_last_name,payee_payment_status,payee_added_date_utc,payee_due_date,payee_address_line_1,payee_address_line_2,payee_city,payee_country,payee_province_or_state,payee_postal_code,payee_phone_number,payee_email,currency,discount_percent,tax_percent,due_amount,total_due
Amy,Young,pending,2024-03-28,2024-12-22,5057 Turner Bypass,Suite 679,Feliciabury,NL,Maine,32133,15153829502,shayes@warren-butler.com,USD,9.23,7.25,3146.75,3056.25
Amber,Williams,overdue,2023-11-07,2024-11-10,6907 Wang Fields Suite 266,Apt. 627,South Jessica,MU,Alaska,36509,15359090297,zperry@hotmail.com,USD,27.36,7.25,2524.67,1962.29
Wanda,Gordon,overdue,2024-10-17,2024-11-11,1699 Camacho Knolls Suite 412,Apt. 457,Armstrongberg,KZ,Arizona,42737,11378091043,mcclainsamuel@molina.info,USD,18.98,7.25,1967.21,1705.40
Nicole,Williams,overdue,2024-11-07,2024-12-03,05795 Jessica Street,Apt. 549,Melissaland,RS,Minnesota,33529,13920067058,flloyd@hotmail.com,USD,9.32,7.25,3685.94,3576.38
Tyler,Whitehead,overdue,2023-04-02,2024-11-22,4484 Joshua Crest,Suite 333,Lowerybury,VN,Oregon,74117,19092050966,victoriasimpson@lawrence.org,USD,23.23,7.25,2232.82,1834.13
Gary,Fritz,pending,2023-04-18,2024-12-25,8284 Robert Turnpike Apt. 226,Suite 444,Port Nicholasville,DJ,Kentucky,40200,14414737398,rickykim@gmail.com,USD,20.97,7.25,4077.31,3447.86
Andrea,Payne,overdue,2023-12-29,2024-11-17,512 Porter Falls,Suite 462,Silvaville,SR,Arkansas,1674,17915638155,johnsonbruce@hotmail.com,USD,8.62,7.25,104.27,101.95
David,Martin,overdue,2023-07-30,2024-11-07,53449 Cindy Hill Suite 208,Suite 114,Stefanieburgh,LA,Hawaii,3669,14136505723,langerin@hotmail.com,USD,21.59,7.25,2205.01,1849.97
Jeremy,Coffey,pending,2023-03-26,2024-12-12,2715 Butler Pine,Suite 316,Mitchellland,AF,Vermont,93621,17377219381,yhawkins@yahoo.com,USD,22.22,7.25,4815.64,4007.80
Robin,Jacobs,pending,2024-03-04,2024-12-30,82729 Corey Summit,Apt. 852,Briggsmouth,ML,Illinois,42641,18232588377,zingram@stafford.net,USD,23.53,7.25,2581.14,2111.96
Cindy,Fletcher,overdue,2023-11-11,2024-11-02,8398 Steven Lodge Suite 324,Suite 458,Smithtown,BW,Louisiana,27668,11994691093,colemanjohn@gmail.com,USD,20.01,7.25,1592.27,1362.81
Roger,Wu,pending,2023-11-24,2024-12-16,79258 Johnson Turnpike Apt. 956,Apt. 707,Michellefort,LT,Vermont,76026,19192752763,shawnberry@yahoo.com,USD,14.4,7.25,4300.69,3939.09
Sheila,Little,pending,2023-09-12,2024-12-09,96593 Donna Park,Suite 267,New Anthony,JP,Tennessee,43687,13680661659,cgarcia@jennings-glover.com,USD,5.98,7.25,4159.52,4184.54
Deborah,Anthony,overdue,2024-09-24,2024-11-17,941 Ramirez Dale,Suite 112,South Scottberg,CD,Oklahoma,38161,17796811783,gonzalezdarrell@schmitt.org,USD,28.1,7.25,4884.77,3758.00
Sandra,Ramirez,overdue,2023-11-30,2024-11-04,1517 Fleming Manors,Suite 607,West Courtney,NZ,Montana,96248,12485380352,smithjon@gmail.com,USD,19.96,7.25,2496.43,2138.01
Sarah,Garcia,overdue,2023-11-21,2024-11-10,87800 Castillo Valleys,Apt. 463,North Cathy,KE,Hawaii,78659,14795180319,gcoffey@yahoo.com,USD,14.74,7.25,1862.97,1699.55
Sophia,Trujillo,overdue,2023-05-10,2024-12-02,675 Darrell Hollow,Apt. 031,East Garrettfort,TR,North Dakota,76809,15432835409,wmeyer@williams.info,USD,25.04,7.25,1873.66,1502.81
Dennis,Parker,pending,2024-10-11,2024-12-13,822 Rivera Fords Suite 957,Suite 955,South Meaganmouth,NR,Maryland,87627,19663712673,jessica22@yahoo.com,USD,10.06,7.25,2303.6,2216.89
Sharon,Mason,pending,2023-04-01,2024-12-25,60240 Joshua Inlet,Suite 506,Thomastown,DE,Hawaii,43554,17769512657,kennethdaniel@gmail.com,USD,23.0,7.25,461.32,380.08
Christopher,Graham,overdue,2023-06-04,2024-11-01,84523 Christopher Harbors Apt. 018,Apt. 538,Heatherbury,CN,Kentucky,75260,18533628168,herbert66@collins.com,USD,20.56,7.25,1798.39,1528.65
Michael,Armstrong,overdue,2023-10-03,2024-11-10,20677 Paul Loaf,Apt. 930,Lake Ronald,DJ,North Carolina,6739,16461517184,norrissarah@yahoo.com,USD,21.39,7.25,3516.17,2957.55
Eric,Young,pending,2024-10-19,2024-12-31,513 Molly Village Suite 587,Suite 995,New Dianeborough,BF,Connecticut,36584,14785746530,dickersonstephen@yahoo.com,USD,13.21,7.25,4924.88,4573.50
Shannon,Ramirez,pending,2023-07-13,2024-12-28,03299 Cook Junction,Apt. 459,West Shaunside,AF,Tennessee,6374,16962752850,cunninghamwalter@glass-fleming.info,USD,22.77,7.25,4912.46,4059.47
William,Peterson,overdue,2023-02-11,2024-11-21,346 Carter Villages,Suite 219,Jeffside,BW,Rhode Island,91451,12233757744,thomasapril@ayala.com,USD,5.98,7.25,1212.79,1220.08
Rachel,Cole,overdue,2024-01-04,2024-11-27,75157 Wyatt Vista,Suite 036,Port Dana,GQ,Vermont,22393,18953243686,carolcastro@gmail.com,USD,27.42,7.25,847.73,658.35
Francisco,Jones,pending,2023-05-30,2024-12-08,998 Aaron Crest Suite 058,Suite 922,Lake Jasonfort,BG,Oregon,66767,12555616320,christine40@hotmail.com,USD,26.58,7.25,749.56,588.85
Kenneth,Johnson,overdue,2024-07-01,2024-11-25,0562 Amber Drive,Apt. 179,Lake Kyle,BT,Wisconsin,17217,12263616332,eddiesuarez@gmail.com,USD,16.23,7.25,4321.36,3873.40
Brianna,Thompson,pending,2024-10-15,2024-12-16,58537 Christina Fields,Apt. 589,South Beth,RU,Rhode Island,31553,17789778581,joshua99@yahoo.com,USD,17.49,7.25,1370.73,1210.16
Melanie,Cole,pending,2024-06-18,2024-12-05,14630 Jacob Spurs Suite 950,Suite 033,Krausefurt,TD,West Virginia,45808,17617754701,smarquez@bowen-stewart.com,USD,10.34,7.25,1962.52,1882.77
Jon,Gill,pending,2023-06-08,2024-12-14,0720 Hicks Parkway Apt. 564,Apt. 547,New Scott,PA,Alabama,28814,17673458898,emilyroberson@graham-hensley.info,USD,28.65,7.25,3676.13,2806.52
Alexandra,Cook,pending,2023-02-10,2024-12-09,4056 John Mountains,Suite 195,Kevinchester,GD,Minnesota,45433,11345175377,amyenglish@hotmail.com,USD,27.61,7.25,2764.42,2141.25
Paul,Smith,overdue,2024-02-04,2024-11-02,036 Rodriguez Burgs Apt. 970,Apt. 808,North Johnburgh,MH,Georgia,79670,19744690718,danawright@johnson.info,USD,12.02,7.25,4070.14,3831.57
Benjamin,Lawrence,overdue,2023-09-12,2024-11-30,370 Smith Inlet,Apt. 135,Smithbury,CV,Ohio,30723,14616477188,johnsonjesse@diaz.com,USD,11.07,7.25,3101.5,2951.24
William,Gardner,overdue,2023-01-21,2024-11-04,65565 Harvey Plains,Suite 789,Port Paulaville,GB,Colorado,49639,13755926526,sherifrederick@george.com,USD,22.19,7.25,3226.79,2686.52
Michael,Morgan,pending,2024-11-21,2024-12-19,846 Davis Flat Suite 336,Suite 288,Gonzalezmouth,UZ,Montana,47072,12607994976,qadkins@gmail.com,USD,6.06,7.25,2678.11,2691.92
David,Johnston,pending,2023-10-25,2024-12-23,988 Nicholas Plaza Apt. 304,Suite 245,Barnesport,VC,Oklahoma,61825,17771189377,jonesmarissa@thomas.com,USD,13.13,7.25,2730.59,2538.11
Julie,Long,pending,2023-01-26,2024-12-19,11265 Walton Loaf,Suite 772,East Joe,UA,Maine,10508,11089578699,courtney16@collins-peterson.biz,USD,28.7,7.25,4343.09,3313.39
Crystal,Burton,pending,2024-06-02,2024-12-08,13203 Jacob Ridges Apt. 425,Apt. 237,Alexanderland,SL,Florida,88078,15432727640,zberg@smith.com,USD,27.53,7.25,3194.63,2477.21
Rebecca,Robertson,overdue,2024-04-03,2024-11-27,203 Randolph Springs,Suite 535,Roblesborough,AD,Minnesota,83684,12875377040,fmatthews@yahoo.com,USD,11.1,7.25,2616.98,2489.35
Megan,Powers,pending,2024-03-10,2024-12-24,23119 Jean Key Suite 689,Suite 705,Davidfort,AR,Texas,75993,13743307987,lindamartinez@white.biz,USD,29.2,7.25,586.2,444.08
Cameron,Rice,overdue,2023-07-31,2024-11-16,9685 Madison Islands Suite 041,Apt. 276,Wagnerborough,SM,Rhode Island,51841,19695148464,xthompson@sullivan.com,USD,27.82,7.25,1001.88,773.78
Shawn,Soto,pending,2024-10-21,2024-12-21,337 Debra Keys,Suite 404,Tylerton,BA,California,78242,19924165859,michael26@smith.biz,USD,13.93,7.25,3638.13,3350.53
Karen,Lopez,overdue,2023-10-01,2024-12-02,010 Arthur Pike,Suite 587,Castanedahaven,SD,Ohio,51620,13611554764,deannarice@santiago.com,USD,5.1,7.25,1918.96,1948.57
John,Paul,overdue,2023-02-02,2024-11-27,404 Webster Views Suite 896,Apt. 255,South Sophia,BY,Montana,70540,16692106910,omarberger@stewart-vasquez.com,USD,8.11,7.25,4947.46,4864.46
Donna,Harris,pending,2024-03-15,2024-12-16,4358 Rebecca Greens Apt. 208,Apt. 351,Donaldmouth,IQ,Iowa,76556,14167998772,karen56@yahoo.com,USD,27.51,7.25,4793.1,3717.73
Calvin,Jacobs,pending,2023-10-06,2024-12-06,6005 Lori Land,Apt. 816,Nicolebury,DE,Ohio,98802,14589225877,reynoldsstephanie@garcia-miranda.com,USD,9.35,7.25,1544.28,1497.88
Linda,Sanchez,pending,2024-09-03,2024-12-30,7093 Jessica Junctions,Apt. 158,West Alanmouth,RW,Kansas,99361,18613419442,ethanmassey@hotmail.com,USD,23.22,7.25,3788.45,3112.39
Ashley,Johnson,pending,2024-08-01,2024-12-29,485 Sandra View,Suite 649,Lake Ashleyfort,AL,New Hampshire,79133,12024672721,julie34@gmail.com,USD,15.48,7.25,3308.38,2991.98
Angela,Villanueva,overdue,2024-04-21,2024-11-28,00601 Davidson Lake Suite 652,Apt. 057,South Benjaminville,KR,South Dakota,68226,14780145276,robinbooth@gmail.com,USD,26.62,7.25,509.18,399.79
Juan,Hernandez,overdue,2023-01-09,2024-11-17,162 Sandoval Roads,Suite 003,Aliciatown,TM,South Carolina,66207,16021603871,mariawilson@yahoo.com,USD,12.03,7.25,3493.99,3288.82
Sandra,Moses,pending,2023-09-18,2024-12-18,421 Patrick Ramp Suite 946,Apt. 840,Davisfort,LY,Georgia,67935,19864273309,heidi00@yahoo.com,USD,8.35,7.25,350.83,344.04
John,Scott,pending,2023-06-23,2024-12-07,0533 Hernandez Trail Apt. 038,Suite 180,South Jeremyside,SL,Indiana,7240,13988092717,cgeorge@hotmail.com,USD,12.74,7.25,457.72,427.36
Patrick,Brown,pending,2024-03-04,2024-12-10,1700 Tyler Field Suite 673,Apt. 878,Lake Andre,NZ,Ohio,9599,15805858586,potterrichard@gmail.com,USD,28.62,7.25,730.12,557.64
Michael,Fry,overdue,2024-01-12,2024-12-01,831 Robert Plaza Suite 888,Apt. 081,Lake Roger,ET,Wyoming,32210,13691571047,kathleen20@hotmail.com,USD,28.42,7.25,2886.27,2210.61
Elizabeth,Rhodes,overdue,2023-02-01,2024-11-26,947 Garner Light Suite 163,Suite 708,South Darrylview,KH,Minnesota,50995,12368415359,washingtonchris@hotmail.com,USD,19.52,7.25,3107.7,2676.15
John,Johnson,pending,2023-09-10,2024-12-21,097 Alexis Streets,Apt. 053,West Willie,TD,Idaho,92229,12847738522,audrey97@coleman.info,USD,29.92,7.25,2804.75,2103.16
Joshua,Vasquez,overdue,2023-06-23,2024-11-14,085 William Courts,Suite 011,South Mariaburgh,BY,Idaho,55630,17365255100,amandamonroe@gmail.com,USD,6.99,7.25,2901.11,2887.20
Jeffery,Freeman,overdue,2023-07-20,2024-11-27,4811 Jackson Prairie Apt. 089,Apt. 818,New Elijahborough,BW,New York,15706,13519457151,bakertodd@henry.com,USD,26.33,7.25,1242.65,979.54
Julie,Davis,overdue,2024-03-26,2024-11-26,143 Yesenia Highway Apt. 528,Apt. 871,Barnesmouth,BF,Missouri,80454,17108086165,rsmith@hotmail.com,USD,11.65,7.25,2554.05,2414.46
Nicole,Espinoza,overdue,2024-07-06,2024-11-12,279 Cheyenne Skyway Suite 796,Suite 448,Gregorychester,KE,Florida,89384,14495966909,craigmorrison@hotmail.com,USD,6.63,7.25,4645.6,4641.23
Adam,Roth,overdue,2023-04-07,2024-11-09,6084 Rhonda Mountains Suite 693,Apt. 454,Lake Clayton,AG,Louisiana,2084,11329000367,qhamilton@campbell-marquez.com,USD,7.11,7.25,2631.41,2615.42
Jaclyn,Fox,overdue,2023-09-01,2024-11-19,755 Michelle Orchard Apt. 533,Apt. 960,East Jamesmouth,DK,Maine,90664,13136297721,crystalberg@hotmail.com,USD,6.44,7.25,4385.14,4389.93
Ashley,Turner,overdue,2023-10-24,2024-11-26,416 Stephanie Club,Suite 350,North Davidberg,GH,Louisiana,64863,11576618751,nicholas33@monroe.com,USD,24.61,7.25,2677.84,2160.14
Daniel,Anderson,pending,2023-01-04,2024-12-22,07879 Diana Harbors Suite 139,Suite 158,Lindafurt,SB,New York,92003,11426323836,vjackson@hotmail.com,USD,21.32,7.25,1889.13,1590.41
Kenneth,Newton,pending,2023-12-20,2024-12-24,817 Rebecca Hollow Suite 293,Suite 988,Websterborough,IQ,Delaware,42737,18685148115,scott10@townsend.com,USD,22.44,7.25,1473.53,1222.87
Christian,Romero,overdue,2024-07-29,2024-11-02,841 Acosta Shoals Apt. 141,Suite 734,Hernandezbury,MT,Mississippi,25155,15187006442,jennifer50@reid.com,USD,23.09,7.25,2690.84,2214.39
Diane,Taylor,pending,2024-06-11,2024-12-21,081 John Branch,Suite 641,South Shawnatown,GM,Texas,41584,13124522257,cassandra36@ochoa.org,USD,12.79,7.25,2138.74,1995.76
Martha,Frazier,overdue,2023-01-29,2024-11-14,84244 Jacob Lakes Apt. 721,Suite 151,Connieland,BT,Wyoming,82052,11011844727,vsnyder@ellis.info,USD,19.91,7.25,1751.6,1501.06
April,Allen,overdue,2023-10-28,2024-11-20,33388 Berry Inlet,Suite 767,Cherryland,RW,South Carolina,10067,18184999384,tbaldwin@ross.com,USD,28.08,7.25,3658.57,2815.43
Eric,Franklin,pending,2023-12-08,2024-12-07,859 Timothy Roads Suite 611,Apt. 265,New Tiffanystad,VA,Maine,63154,19206324823,jessicaenglish@smith.com,USD,28.44,7.25,4216.53,3228.56
Keith,Sharp,pending,2023-12-16,2024-12-30,179 Vasquez Points,Apt. 313,New Mark,KE,Kansas,14980,13057111860,joshuashepherd@hotmail.com,USD,12.21,7.25,4878.11,4582.27
Ralph,Brown,pending,2023-07-04,2024-12-21,4751 Mccormick Fork Suite 782,Suite 191,Elijahtown,SL,Louisiana,49691,15621091358,nancygonzalez@rivera.org,USD,19.31,7.25,3657.77,3158.06
Melissa,Walker,pending,2024-05-26,2024-12-24,2874 Diana Cliff,Suite 305,North Brent,DM,Illinois,43831,15489764530,irowe@anthony-gardner.com,USD,18.16,7.25,409.55,358.64
Allison,Jones,pending,2024-04-13,2024-12-24,4364 Dorothy Field Suite 859,Apt. 263,Johnsonbury,TZ,Minnesota,68158,14998828026,jameswoods@tate.com,USD,21.81,7.25,4300.06,3597.57
Katelyn,Leonard,overdue,2023-08-01,2024-11-29,835 Frost Path Suite 556,Apt. 093,Port Erica,VC,Oklahoma,64422,18293594084,michelle13@dyer.com,USD,7.59,7.25,182.06,180.02
Amy,Williams,pending,2024-08-30,2024-12-23,67370 Hayden Drive Apt. 579,Apt. 773,Sanchezview,CU,Michigan,3545,15922437799,lisafuller@hotmail.com,USD,21.59,7.25,3884.49,3259.04
Matthew,Thomas,pending,2023-01-07,2024-12-21,0453 Moore Stream,Suite 593,Port Jeffrey,LT,Kentucky,91392,12764708607,elizabethnorton@peters.net,USD,18.6,7.25,2603.94,2267.98
Eric,Wright,overdue,2024-07-04,2024-11-18,496 Leon Fords,Suite 112,West Jamiebury,KW,New Mexico,13623,16965152884,nicolecalderon@walker.com,USD,20.34,7.25,2598.75,2215.08
Linda,Clark,pending,2023-12-14,2024-12-10,35418 Jeremiah Passage,Suite 175,East Matthewton,MT,Massachusetts,6384,14912871286,schmidtlisa@moore.com,USD,24.34,7.25,612.37,495.75
Joseph,Sherman,overdue,2023-12-25,2024-11-17,62742 Mark View Apt. 160,Suite 893,Amytown,BO,Delaware,14874,15917284795,callahanbrian@gmail.com,USD,24.07,7.25,4376.31,3555.54
Guy,Short,overdue,2023-09-02,2024-11-08,40651 Steven Mission Apt. 470,Suite 796,New Juliefurt,MV,Nevada,76259,15686431217,jesuscarter@reed.com,USD,25.35,7.25,1651.44,1319.10
Christopher,Moore,pending,2023-05-07,2024-12-18,50947 Shelton Key Apt. 015,Apt. 842,Isaiahshire,CF,West Virginia,98802,16377927444,wendypetty@martin.com,USD,13.9,7.25,3721.66,3428.65
Kimberly,Dean,overdue,2024-02-25,2024-11-10,631 Elizabeth Summit,Apt. 443,Alantown,SG,Washington,32531,11733527411,edward70@wallace-james.com,USD,20.09,7.25,4643.51,3970.37
Sonya,Gomez,overdue,2024-02-13,2024-11-20,96210 Alexandra River,Suite 912,Brandonport,MT,South Dakota,11622,11412358054,nicholsshannon@hotmail.com,USD,16.22,7.25,1508.14,1351.97
John,Bolton,pending,2024-04-19,2024-12-26,0013 Clark Lane Apt. 172,Apt. 395,Deniseburgh,GQ,Iowa,96945,18156509610,sdavis@moran-williams.com,USD,7.38,7.25,4217.26,4179.45
Catherine,Hudson,overdue,2023-07-04,2024-11-20,0131 Brian Fords,Apt. 586,Martinezmouth,AO,Utah,68487,19531365983,christopher84@gmail.com,USD,29.2,7.25,4388.68,3324.69
Peter,Brown,pending,2024-08-20,2024-12-29,231 Kristin Lodge Suite 138,Suite 471,Wrightport,RW,North Dakota,44734,16658347490,gabrielle63@henderson.info,USD,5.66,7.25,3571.81,3605.52
Tyler,Juarez,overdue,2023-06-29,2024-11-08,92858 Clayton Course Apt. 640,Suite 361,Ericside,SZ,Virginia,56557,19537272042,douglaskirby@gmail.com,USD,24.32,7.25,1920.3,1555.01
Derek,Schwartz,overdue,2023-05-28,2024-11-08,9103 Vicki Drive,Suite 141,New Shawnport,TM,Illinois,50024,15999553102,hjackson@yahoo.com,USD,22.46,7.25,1055.28,875.54
Jessica,Watson,overdue,2024-01-06,2024-11-05,73449 James Locks Suite 397,Suite 953,Port Anne,LU,Montana,19894,11965227435,alvarezamanda@yahoo.com,USD,18.5,7.25,4871.0,4247.76
Terri,Miller,overdue,2023-11-05,2024-11-04,7639 Jennifer Ways,Apt. 282,East Ashleyside,FM,North Carolina,98152,17134375354,leerobert@yahoo.com,USD,15.65,7.25,2006.99,1811.40
Stacey,Cook,pending,2024-01-17,2024-12-07,5314 John Oval,Suite 078,Johnbury,LS,Washington,69576,15550114889,swalls@ellis.com,USD,29.59,7.25,2207.72,1663.27
Lori,Dawson,overdue,2023-09-13,2024-11-20,464 Brooks Port,Apt. 582,Heatherfurt,DZ,Georgia,84140,14748755605,garrettwilliam@buck.com,USD,25.2,7.25,3826.69,3062.73
Valerie,Aguirre,overdue,2024-08-29,2024-11-06,0785 Golden Manor Apt. 993,Suite 362,East Saraland,ZM,Tennessee,65384,18339409210,hamiltonhannah@davis-wilson.net,USD,10.44,7.25,824.47,790.08
Jane,Ortega,overdue,2023-10-01,2024-11-05,263 Bruce Mall,Apt. 891,Mortonport,SO,South Carolina,29786,11087744704,robertlewis@hotmail.com,USD,25.81,7.25,1123.01,891.48
Tanya,Merritt,pending,2024-09-09,2024-12-18,14053 Castro Skyway Suite 694,Apt. 777,Michaelchester,FM,Alaska,83305,12849301799,ugutierrez@yahoo.com,USD,12.33,7.25,2038.14,1911.92
